EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI,EDA,TEMP,HR, IBI
0.002562,22.67,103.58,0.671906,0.0,22.43,129.22,0.515649,0.0,22.01,179.82,0.781286
0.001281,22.69,105.33,0.671906,0.0,22.45,128.9,0.562526,0.0,21.99,179.5,0.828163
0.0,22.69,107.1,0.687531,0.0,22.45,128.77,0.5469,0.0,21.99,178.98,0.812537
0.0,22.69,108.92,0.76566,0.0,22.45,128.63,0.484397,0.0,21.99,178.45,0.812537
0.0,22.69,110.72,0.750034,0.0,22.45,128.52,0.531274,0.0,21.99,177.95,0.750034
0.001281,22.65,112.5,0.796911,0.0,22.45,128.32,0.562526,0.0,22.01,177.48,0.76566
0.0,22.65,114.05,0.859414,0.0,22.45,128.17,0.562526,0.0,22.01,176.98,0.812537
0.0,22.65,115.6,0.843789,0.0,22.45,128.13,0.500023,0.0,22.01,176.63,0.906291
0.001281,22.65,117.12,0.828163,0.0,22.45,128.08,0.578151,0.0,22.01,176.22,0.843789
0.001281,22.65,118.7,0.703157,0.0,22.47,128.07,0.531274,0.0,22.01,175.8,0.734409
0.0,22.65,120.18,0.718783,0.0,22.47,128.05,0.515649,0.0,22.01,175.38,0.76566
0.001281,22.65,121.58,0.718783,0.0,22.47,128.02,0.515649,0.0,22.01,175.05,0.76566
0.001281,22.65,122.88,0.718783,0.0,22.47,128.02,0.578151,0.0,22.01,174.78,0.968794
0.002562,22.63,124.18,0.734409,0.0,22.45,128.02,0.468771,0.0,22.03,174.5,0.921917
0.0,22.63,126.2,0.828163,0.0,22.45,128.05,0.5469,0.0,22.03,173.35,0.890666
0.0,22.63,127.33,0.781286,0.0,22.45,128.08,0.531274,0.0,22.03,172.18,0.953169
0.0,22.63,128.47,0.750034,0.0,22.45,128.0,0.578151,0.0,22.03,171.02,0.87504
0.0,22.63,129.53,0.671906,0.0,22.45,127.88,0.500023,0.0,22.01,169.7,0.859414
0.0,22.63,130.47,0.687531,0.001281,22.45,127.77,0.515649,0.0,22.01,168.38,0.703157
0.0,22.63,131.43,0.781286,0.0,22.45,127.65,0.515649,0.0,22.01,167.08,0.734409
0.001281,22.63,132.63,0.625029,0.0,22.45,127.52,0.562526,0.0,22.01,165.72,0.796911
0.001281,22.63,133.82,0.609403,0.0,22.45,127.35,0.531274,0.0,22.01,164.38,0.921917
0.002562,22.63,135.03,0.609403,0.0,22.45,127.22,0.609403,0.0,22.01,163.03,0.796911
0.0,22.63,136.15,0.687531,0.0,22.45,127.0,0.468771,0.0,22.01,161.72,0.76566
0.0,22.63,137.25,0.578151,0.0,22.45,126.9,0.609403,0.0,22.01,160.35,0.968794
0.001281,22.65,138.12,0.671906,0.0,22.49,126.58,0.500023,0.0,21.99,159.03,0.65628
0.0,22.65,139.02,0.640654,0.0,22.49,126.32,0.640654,0.0,21.99,157.72,0.625029
0.001281,22.65,140.08,0.718783,0.0,22.49,126.07,0.468771,0.0,21.99,156.4,0.703157
0.001281,22.65,141.13,0.76566,0.0,22.49,125.95,0.468771,0.0,21.99,155.08,0.76566
0.0,22.61,142.25,0.718783,0.0,22.47,125.78,0.562526,0.0,21.99,153.8,0.796911
0.0,22.61,143.27,0.734409,0.0,22.47,125.63,0.484397,0.0,21.99,152.47,0.703157
0.0,22.61,144.3,0.718783,0.0,22.47,125.52,0.578151,0.0,21.99,151.07,0.812537
0.0,22.61,145.37,0.781286,0.0,22.47,125.38,0.500023,0.0,21.99,148.95,0.828163
0.0,22.61,146.43,0.812537,0.0,22.45,125.23,0.5469,0.0,22.01,148.57,0.87504
0.0,22.61,147.52,0.718783,0.0,22.45,125.13,0.593777,0.0,22.01,146.87,0.828163
0.0,22.61,148.48,0.671906,0.0,22.45,125.03,0.468771,0.0,22.01,146.75,0.843789
0.0,22.61,149.37,0.703157,0.0,22.45,124.87,0.578151,0.0,22.01,145.08,0.812537
0.001281,22.59,150.07,0.781286,0.0,22.45,124.72,0.5469,0.0,21.97,145.02,0.703157
0.001281,22.59,150.78,0.859414,0.0,22.45,124.53,0.562526,0.0,21.97,144.55,0.843789
0.0,22.59,151.48,0.859414,0.0,22.45,124.4,0.531274,0.0,21.97,144.15,0.76566
